stale_test_id,website_id,stale_version,required_version,scenario,expected_behavior,added_cover_gap,split,stale_relation
ST0023,W023,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-023-0023.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0024,W024,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-024-0024.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0025,W025,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-025-0025.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0026,W026,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-026-0026.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0027,W027,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-027-0027.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0028,W028,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-028-0028.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0029,W029,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-029-0029.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0030,W030,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-030-0030.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0031,W031,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-031-0031.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0032,W032,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-032-0032.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0033,W033,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-033-0033.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0034,W034,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-034-0034.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0035,W035,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-035-0035.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0036,W036,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-036-0036.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0037,W037,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-037-0037.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0038,W038,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-038-0038.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0039,W039,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-039-0039.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0040,W040,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-040-0040.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0041,W041,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-041-0041.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0042,W042,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-042-0042.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0043,W043,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-043-0043.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0044,W044,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-044-0044.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0045,W045,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-045-0045.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0046,W046,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-046-0046.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0047,W047,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-047-0047.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0048,W048,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-048-0048.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0049,W049,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-049-0049.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0050,W050,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-050-0050.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0051,W051,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-051-0051.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0052,W052,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-052-0052.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0053,W053,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-053-0053.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0054,W054,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-054-0054.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0055,W055,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-055-0055.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0056,W056,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-056-0056.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0057,W057,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-057-0057.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0058,W058,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-058-0058.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0059,W059,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-059-0059.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0060,W060,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-060-0060.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0061,W061,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-061-0061.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0062,W062,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-062-0062.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0063,W063,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-063-0063.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0064,W064,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-064-0064.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0065,W065,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-065-0065.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0066,W066,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-066-0066.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0067,W067,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-067-0067.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0068,W068,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-068-0068.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0069,W069,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-069-0069.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0070,W070,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-070-0070.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0071,W071,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-071-0071.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0072,W072,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-072-0072.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0073,W073,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-073-0073.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0074,W074,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-074-0074.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0075,W075,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-075-0075.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0076,W076,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-076-0076.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0077,W077,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-077-0077.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0078,W078,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-078-0078.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0079,W079,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-079-0079.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0080,W080,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-080-0080.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0081,W081,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-081-0081.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0082,W082,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-082-0082.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0083,W083,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-083-0083.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0084,W084,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-084-0084.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0085,W085,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-085-0085.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0086,W086,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-086-0086.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0087,W087,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-087-0087.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0088,W088,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-088-0088.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0089,W089,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-089-0089.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0090,W090,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-090-0090.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0091,W091,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-091-0091.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0092,W092,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-092-0092.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0093,W093,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-093-0093.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0094,W094,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-094-0094.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0095,W095,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-095-0095.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0096,W096,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-096-0096.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0097,W097,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-097-0097.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0098,W098,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-098-0098.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0099,W099,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-099-0099.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0100,W100,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-100-0100.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0101,W101,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-101-0101.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0102,W102,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-102-0102.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0103,W103,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-103-0103.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0104,W104,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-104-0104.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0105,W105,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-105-0105.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0106,W106,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-106-0106.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0107,W107,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-107-0107.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0108,W108,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-108-0108.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0109,W109,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-109-0109.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0110,W110,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-110-0110.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0111,W111,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-111-0111.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0112,W112,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-112-0112.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0113,W113,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-113-0113.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0114,W114,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-114-0114.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0115,W115,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-115-0115.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0116,W116,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-116-0116.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0117,W117,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-117-0117.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0118,W118,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-118-0118.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0119,W119,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-119-0119.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0120,W120,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-120-0120.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0121,W121,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-121-0121.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0122,W122,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-122-0122.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0123,W123,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-123-0123.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0124,W124,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-124-0124.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0125,W125,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-125-0125.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0126,W126,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-126-0126.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0127,W127,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-127-0127.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0128,W128,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-128-0128.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0129,W129,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-129-0129.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0130,W130,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-130-0130.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0131,W131,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-131-0131.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0132,W132,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-132-0132.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0133,W133,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-133-0133.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0134,W134,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-134-0134.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0135,W135,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-135-0135.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0136,W136,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-136-0136.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0137,W137,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-137-0137.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0138,W138,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-138-0138.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0139,W139,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-139-0139.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0140,W140,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-140-0140.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0141,W141,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-141-0141.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0142,W142,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-142-0142.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0143,W143,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-143-0143.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0144,W144,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-144-0144.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0145,W145,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-145-0145.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0146,W146,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-146-0146.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0147,W147,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-147-0147.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0148,W148,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-148-0148.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0149,W149,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-149-0149.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0150,W150,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-150-0150.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0151,W151,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-151-0151.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0152,W152,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-152-0152.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0153,W153,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-153-0153.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0154,W154,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-154-0154.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0155,W155,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-155-0155.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0156,W156,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-156-0156.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0157,W157,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-157-0157.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0158,W158,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-158-0158.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0159,W159,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-159-0159.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0160,W160,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-160-0160.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0161,W161,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-161-0161.,"Detect staleness, update affected knowledge, then answer from the required current version.",,validation,stale_older_than_required
ST0162,W162,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-162-0162.,"Detect staleness, update affected knowledge, then answer from the required current version.",,validation,stale_older_than_required
ST0163,W163,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-163-0163.,"Detect staleness, update affected knowledge, then answer from the required current version.",,validation,stale_older_than_required
ST0164,W164,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-164-0164.,"Detect staleness, update affected knowledge, then answer from the required current version.",,validation,stale_older_than_required
ST0165,W165,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-165-0165.,"Detect staleness, update affected knowledge, then answer from the required current version.",,validation,stale_older_than_required
ST0166,W166,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-166-0166.,"Detect staleness, update affected knowledge, then answer from the required current version.",,validation,stale_older_than_required
ST0167,W167,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-167-0167.,"Detect staleness, update affected knowledge, then answer from the required current version.",,validation,stale_older_than_required
