question_id,website_id,split,target_version,question_type,question,expected_behavior,retrieval_label,freshness_sensitive,source_page_type,version_a,version_b,snapshot_version,stale_case_id,conflict_id,gold_answer,gold_available,gold_derivation,supporting_chunk_ids,citation_required_document_ids,retrieval_needed
Q00011,W001,train,V01,historical,"In website EDU-01-000, what did the pricing guidance say in V01, and how is that different from the current release? Benchmark case TRAIN-EDU-01-000-10.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing,V01,,,,,"In V01 the pricing guidance was: Reference EDU-01-000-01-02-09241 governs the pricing and commercial terms for Atlas Education North. The module workflow supports enrolment and records course information under the North operating profile. Version 1 specifies a threshold of 89 units and a listed service value of 437 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 30 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-01-02-09241. Difference from the current release (V10): workflow: 'module' -> 'lab'; action1: 'enrolment' -> 'attendance'; record: 'course' -> 'scholarship'; action2: 'enrolment' -> 'verification'; th: '89' -> '85'; sv: '437' -> '256'; day: 'Tuesday' -> 'Thursday'; time: '08:00' -> '10:00'; min: '30' -> '61'.",yes,historical_pricing_doc_and_diff,"[""W001_V01_P02_C1"", ""W001_V01_P02_C2""]","[""W001_V01_P02"", ""W001_V10_P02""]",yes
Q00012,W001,train,V02,comparison,"Between V01 and V02, what changed for the lab workflow on EDU-01-000? Benchmark case TRAIN-EDU-01-000-11.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy,V01,V02,,,,Between V01 and V02 the policy page changed in: workflow: 'assessment' -> 'scholarship'; record: 'lab' -> 'course'; action2: 'verification' -> 'attendance'; th: '86' -> '68'; sv: '329' -> '75'; day: 'Sunday' -> 'Monday'; time: '13:00' -> '07:00'; min: '162' -> '85'.,yes,comparison_policy_doc_diff,"[""W001_V01_P03_C1"", ""W001_V01_P03_C2"", ""W001_V02_P03_C1"", ""W001_V02_P03_C2""]","[""W001_V01_P03"", ""W001_V02_P03""]",yes
Q00013,W001,train,V03,change_detection,Which lifecycle change type should be assigned to the V03 update affecting withdrawal on EDU-01-000? Benchmark case TRAIN-EDU-01-000-12.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support,V02,V03,,,,The V03 support update is classified as policy.,yes,change_detection_changes_lookup,"[""W001_V03_P04_C1"", ""W001_V03_P04_C2""]","[""W001_V03_P04""]",yes
Q00014,W001,train,V04,policy,What is the current operating rule for withdrawal in the North profile of Atlas Education North? Benchmark case TRAIN-EDU-01-000-13.,Use the latest authoritative policy content.,retrieval_needed,yes,faq,,,,,,"The current operating rule (V04) recorded on the FAQ page is: Reference EDU-01-000-04-05-13207 governs the frequently asked questions for Atlas Education North. The module workflow supports withdrawal and records course information under the North operating profile. Version 4 specifies a threshold of 26 units and a listed service value of 193 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 195 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-04-05-13207.",yes,policy_faq_doc,"[""W001_V04_P05_C1"", ""W001_V04_P05_C2""]","[""W001_V04_P05""]",yes
Q00015,W001,train,V05,requirement,What information is required before withdrawal for reference EDU-01-000 in V05? Benchmark case TRAIN-EDU-01-000-14.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements,,,,,,"The information required (V05) is defined on the requirements page: Reference EDU-01-000-05-06-14529 governs the eligibility and requirements for Atlas Education North. The scholarship workflow supports enrolment and records course information under the North operating profile. Version 5 specifies a threshold of 84 units and a listed service value of 252 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 69 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-05-06-14529.",yes,requirement_doc,"[""W001_V05_P06_C1"", ""W001_V05_P06_C2""]","[""W001_V05_P06""]",yes
Q00016,W001,train,V06,stale,"If the index still contains V04 for EDU-01-000, can it safely answer a current question about lab? Benchmark case TRAIN-EDU-01-000-15.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule,V04,V06,V04,ST0801,,"Stale: the index contains V04 while the current release is V06; selective refresh of the schedule page chunks [W001_V04_P07_C1, W001_V04_P07_C2, W001_V06_P07_C1, W001_V06_P07_C2] from V04 to V06 is required before answering.",yes,stale_case_linked,"[""W001_V04_P07_C1"", ""W001_V04_P07_C2"", ""W001_V06_P07_C1"", ""W001_V06_P07_C2""]","[""W001_V04_P07"", ""W001_V06_P07""]",yes
Q00017,W001,train,V07,conflict,"If an older security snapshot disagrees with the latest EDU-01-000 release about withdrawal, which source should govern the answer? Benchmark case TRAIN-EDU-01-000-16.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security,V05,V07,V05,,CF0001,The latest authoritative security release (V07) governs; the older snapshot (V05) is superseded. Conflict resolution rule: prefer the current authoritative source and cite it.,yes,conflict_prefer_current,"[""W001_V07_P08_C1"", ""W001_V07_P08_C2""]","[""W001_V05_P08"", ""W001_V07_P08""]",yes
Q00018,W001,train,V08,multi_document,"For EDU-01-000, combine the services and support guidance to explain how withdrawal is handled. Benchmark case TRAIN-EDU-01-000-17.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services,,,,,,"Combined guidance (V08): services page says Reference EDU-01-000-08-09-18495 governs the available services for Atlas Education North. The scholarship workflow supports attendance and records module information under the North operating profile. Version 8 specifies a threshold of 21 units and a listed service value of 429 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 53 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-08-09-18495. support page says Reference EDU-01-000-08-04-16930 governs the support procedure for Atlas Education North. The lab workflow supports submission and records scholarship information under the North operating profile. Version 8 specifies a threshold of 36 units and a listed service value of 127 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 117 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-08-04-16930.",yes,multi_document_services_support,"[""W001_V08_P09_C1"", ""W001_V08_P09_C2"", ""W001_V08_P04_C1"", ""W001_V08_P04_C2""]","[""W001_V08_P09"", ""W001_V08_P04""]",yes
Q00019,W001,train,V09,retrieval_control,Control EDU-01-000-18: what is 119 + 69? Benchmark case TRAIN-EDU-01-000-18.,Answer 188 without corpus retrieval.,retrieval_not_needed,no,contact,,,,,,119 + 69 = 188.,yes,retrieval_control_arithmetic,[],[],no
Q00020,W001,train,V10,freshness,"For Atlas Education North (EDU-01-000), what is the current published value associated with lab in version V10? Benchmark case TRAIN-EDU-01-000-19.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview,,,,,,"The current published value in V10 for the overview page: threshold 88 units, listed service value 364 units (reference EDU-01-000-10-01-18009, North profile).",yes,freshness_overview_doc,"[""W001_V10_P01_C1"", ""W001_V10_P01_C2""]","[""W001_V10_P01""]",yes
Q00021,W001,train,V01,historical,"In website EDU-01-000, what did the pricing guidance say in V01, and how is that different from the current release? Benchmark case TRAIN-EDU-01-000-20.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing,V01,,,,,"In V01 the pricing guidance was: Reference EDU-01-000-01-02-09241 governs the pricing and commercial terms for Atlas Education North. The module workflow supports enrolment and records course information under the North operating profile. Version 1 specifies a threshold of 89 units and a listed service value of 437 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 30 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-01-02-09241. Difference from the current release (V10): workflow: 'module' -> 'lab'; action1: 'enrolment' -> 'attendance'; record: 'course' -> 'scholarship'; action2: 'enrolment' -> 'verification'; th: '89' -> '85'; sv: '437' -> '256'; day: 'Tuesday' -> 'Thursday'; time: '08:00' -> '10:00'; min: '30' -> '61'.",yes,historical_pricing_doc_and_diff,"[""W001_V01_P02_C1"", ""W001_V01_P02_C2""]","[""W001_V01_P02"", ""W001_V10_P02""]",yes
Q00022,W001,train,V02,comparison,"Between V01 and V02, what changed for the lab workflow on EDU-01-000? Benchmark case TRAIN-EDU-01-000-21.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy,V01,V02,,,,Between V01 and V02 the policy page changed in: workflow: 'assessment' -> 'scholarship'; record: 'lab' -> 'course'; action2: 'verification' -> 'attendance'; th: '86' -> '68'; sv: '329' -> '75'; day: 'Sunday' -> 'Monday'; time: '13:00' -> '07:00'; min: '162' -> '85'.,yes,comparison_policy_doc_diff,"[""W001_V01_P03_C1"", ""W001_V01_P03_C2"", ""W001_V02_P03_C1"", ""W001_V02_P03_C2""]","[""W001_V01_P03"", ""W001_V02_P03""]",yes
Q00023,W001,train,V03,change_detection,Which lifecycle change type should be assigned to the V03 update affecting withdrawal on EDU-01-000? Benchmark case TRAIN-EDU-01-000-22.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support,V02,V03,,,,The V03 support update is classified as policy.,yes,change_detection_changes_lookup,"[""W001_V03_P04_C1"", ""W001_V03_P04_C2""]","[""W001_V03_P04""]",yes
Q00024,W001,train,V04,policy,What is the current operating rule for withdrawal in the North profile of Atlas Education North? Benchmark case TRAIN-EDU-01-000-23.,Use the latest authoritative policy content.,retrieval_needed,yes,faq,,,,,,"The current operating rule (V04) recorded on the FAQ page is: Reference EDU-01-000-04-05-13207 governs the frequently asked questions for Atlas Education North. The module workflow supports withdrawal and records course information under the North operating profile. Version 4 specifies a threshold of 26 units and a listed service value of 193 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 195 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-04-05-13207.",yes,policy_faq_doc,"[""W001_V04_P05_C1"", ""W001_V04_P05_C2""]","[""W001_V04_P05""]",yes
Q00025,W001,train,V05,requirement,What information is required before withdrawal for reference EDU-01-000 in V05? Benchmark case TRAIN-EDU-01-000-24.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements,,,,,,"The information required (V05) is defined on the requirements page: Reference EDU-01-000-05-06-14529 governs the eligibility and requirements for Atlas Education North. The scholarship workflow supports enrolment and records course information under the North operating profile. Version 5 specifies a threshold of 84 units and a listed service value of 252 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 69 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-05-06-14529.",yes,requirement_doc,"[""W001_V05_P06_C1"", ""W001_V05_P06_C2""]","[""W001_V05_P06""]",yes
Q00026,W001,train,V06,stale,"If the index still contains V04 for EDU-01-000, can it safely answer a current question about lab? Benchmark case TRAIN-EDU-01-000-25.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule,V04,V06,V04,ST0801,,"Stale: the index contains V04 while the current release is V06; selective refresh of the schedule page chunks [W001_V04_P07_C1, W001_V04_P07_C2, W001_V06_P07_C1, W001_V06_P07_C2] from V04 to V06 is required before answering.",yes,stale_case_linked,"[""W001_V04_P07_C1"", ""W001_V04_P07_C2"", ""W001_V06_P07_C1"", ""W001_V06_P07_C2""]","[""W001_V04_P07"", ""W001_V06_P07""]",yes
Q00027,W002,train,V01,comparison,"Between V01 and V01, what changed for the deployment workflow on SOF-01-037? Benchmark case TRAIN-SOF-01-037-00.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy,V01,V01,,,,No change between V01 and V01: identical version pair.,yes,comparison_same_version,"[""W002_V01_P03_C1"", ""W002_V01_P03_C2"", ""W002_V01_P03_C1"", ""W002_V01_P03_C2""]","[""W002_V01_P03"", ""W002_V01_P03""]",yes
Q00028,W002,train,V02,change_detection,Which lifecycle change type should be assigned to the V02 update affecting rollback on SOF-01-037? Benchmark case TRAIN-SOF-01-037-01.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support,V01,V02,,,,The V02 support update is classified as major_semantic.,yes,change_detection_changes_lookup,"[""W002_V02_P04_C1"", ""W002_V02_P04_C2""]","[""W002_V02_P04""]",yes
Q00029,W002,train,V03,policy,What is the current operating rule for rollback in the South profile of Atlas Software South? Benchmark case TRAIN-SOF-01-037-02.,Use the latest authoritative policy content.,retrieval_needed,yes,faq,,,,,,"The current operating rule (V03) recorded on the FAQ page is: Reference SOF-01-037-03-05-20117 governs the frequently asked questions for Atlas Software South. The endpoint workflow supports export and records release information under the South operating profile. Version 3 specifies a threshold of 63 units and a listed service value of 367 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 46 minutes. For rollback, the requester follows the site-specific verification route associated with reference SOF-01-037-03-05-20117.",yes,policy_faq_doc,"[""W002_V03_P05_C1"", ""W002_V03_P05_C2""]","[""W002_V03_P05""]",yes
Q00030,W002,train,V04,requirement,What information is required before rollback for reference SOF-01-037 in V04? Benchmark case TRAIN-SOF-01-037-03.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements,,,,,,"The information required (V04) is defined on the requirements page: Reference SOF-01-037-04-06-21439 governs the eligibility and requirements for Atlas Software South. The API key workflow supports rollback and records endpoint information under the South operating profile. Version 4 specifies a threshold of 42 units and a listed service value of 426 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 101 minutes. For upgrade, the requester follows the site-specific verification route associated with reference SOF-01-037-04-06-21439.",yes,requirement_doc,"[""W002_V04_P06_C1"", ""W002_V04_P06_C2""]","[""W002_V04_P06""]",yes
Q00031,W002,train,V05,stale,"If the index still contains V03 for SOF-01-037, can it safely answer a current question about deployment? Benchmark case TRAIN-SOF-01-037-04.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule,V03,V05,V03,ST0002,,"Stale: the index contains V03 while the current release is V05; selective refresh of the schedule page chunks [W002_V03_P07_C1, W002_V03_P07_C2, W002_V05_P07_C1, W002_V05_P07_C2] from V03 to V05 is required before answering.",yes,stale_case_linked,"[""W002_V03_P07_C1"", ""W002_V03_P07_C2"", ""W002_V05_P07_C1"", ""W002_V05_P07_C2""]","[""W002_V03_P07"", ""W002_V05_P07""]",yes
Q00032,W002,train,V06,conflict,"If an older security snapshot disagrees with the latest SOF-01-037 release about rollback, which source should govern the answer? Benchmark case TRAIN-SOF-01-037-05.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security,V04,V06,V04,,CF0002,The latest authoritative security release (V06) governs; the older snapshot (V04) is superseded. Conflict resolution rule: prefer the current authoritative source and cite it.,yes,conflict_prefer_current,"[""W002_V06_P08_C1"", ""W002_V06_P08_C2""]","[""W002_V04_P08"", ""W002_V06_P08""]",yes
Q00033,W002,train,V07,multi_document,"For SOF-01-037, combine the services and support guidance to explain how rollback is handled. Benchmark case TRAIN-SOF-01-037-06.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services,,,,,,"Combined guidance (V07): services page says Reference SOF-01-037-07-09-25405 governs the available services for Atlas Software South. The API key workflow supports upgrade and records endpoint information under the South operating profile. Version 7 specifies a threshold of 58 units and a listed service value of 182 units. The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 85 minutes. For upgrade, the requester follows the site-specific verification route associated with reference SOF-01-037-07-09-25405. support page says Reference SOF-01-037-07-04-23840 governs the support procedure for Atlas Software South. The deployment workflow supports authentication and records API key information under the South operating profile. Version 7 specifies a threshold of 73 units and a listed service value of 301 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 149 minutes. For export, the requester follows the site-specific verification route associated with reference SOF-01-037-07-04-23840.",yes,multi_document_services_support,"[""W002_V07_P09_C1"", ""W002_V07_P09_C2"", ""W002_V07_P04_C1"", ""W002_V07_P04_C2""]","[""W002_V07_P09"", ""W002_V07_P04""]",yes
Q00034,W002,train,V08,retrieval_control,Control SOF-01-037-07: what is 495 + 145? Benchmark case TRAIN-SOF-01-037-07.,Answer 640 without corpus retrieval.,retrieval_not_needed,no,contact,,,,,,495 + 145 = 640.,yes,retrieval_control_arithmetic,[],[],no
Q00035,W002,train,V09,freshness,"For Atlas Software South (SOF-01-037), what is the current published value associated with deployment in version V09? Benchmark case TRAIN-SOF-01-037-08.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview,,,,,,"The current published value in V09 for the overview page: threshold 46 units, listed service value 117 units (reference SOF-01-037-09-01-24919, South profile).",yes,freshness_overview_doc,"[""W002_V09_P01_C1"", ""W002_V09_P01_C2""]","[""W002_V09_P01""]",yes
Q00036,W002,train,V10,historical,"In website SOF-01-037, what did the pricing guidance say in V10, and how is that different from the current release? Benchmark case TRAIN-SOF-01-037-09.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing,V10,,,,,"In V10 the pricing guidance was: Reference SOF-01-037-10-02-26241 governs the pricing and commercial terms for Atlas Software South. The integration workflow supports export and records integration information under the South operating profile. Version 10 specifies a threshold of 25 units and a listed service value of 176 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 197 minutes. For export, the requester follows the site-specific verification route associated with reference SOF-01-037-10-02-26241. Difference from the current release (V10): no difference from the current release.",yes,historical_pricing_doc_and_diff,"[""W002_V10_P02_C1"", ""W002_V10_P02_C2""]","[""W002_V10_P02"", ""W002_V10_P02""]",yes
Q00037,W002,train,V01,comparison,"Between V01 and V01, what changed for the deployment workflow on SOF-01-037? Benchmark case TRAIN-SOF-01-037-10.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy,V01,V01,,,,No change between V01 and V01: identical version pair.,yes,comparison_same_version,"[""W002_V01_P03_C1"", ""W002_V01_P03_C2"", ""W002_V01_P03_C1"", ""W002_V01_P03_C2""]","[""W002_V01_P03"", ""W002_V01_P03""]",yes
Q00038,W002,train,V02,change_detection,Which lifecycle change type should be assigned to the V02 update affecting rollback on SOF-01-037? Benchmark case TRAIN-SOF-01-037-11.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support,V01,V02,,,,The V02 support update is classified as major_semantic.,yes,change_detection_changes_lookup,"[""W002_V02_P04_C1"", ""W002_V02_P04_C2""]","[""W002_V02_P04""]",yes
Q00039,W002,train,V03,policy,What is the current operating rule for rollback in the South profile of Atlas Software South? Benchmark case TRAIN-SOF-01-037-12.,Use the latest authoritative policy content.,retrieval_needed,yes,faq,,,,,,"The current operating rule (V03) recorded on the FAQ page is: Reference SOF-01-037-03-05-20117 governs the frequently asked questions for Atlas Software South. The endpoint workflow supports export and records release information under the South operating profile. Version 3 specifies a threshold of 63 units and a listed service value of 367 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 46 minutes. For rollback, the requester follows the site-specific verification route associated with reference SOF-01-037-03-05-20117.",yes,policy_faq_doc,"[""W002_V03_P05_C1"", ""W002_V03_P05_C2""]","[""W002_V03_P05""]",yes
Q00040,W002,train,V04,requirement,What information is required before rollback for reference SOF-01-037 in V04? Benchmark case TRAIN-SOF-01-037-13.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements,,,,,,"The information required (V04) is defined on the requirements page: Reference SOF-01-037-04-06-21439 governs the eligibility and requirements for Atlas Software South. The API key workflow supports rollback and records endpoint information under the South operating profile. Version 4 specifies a threshold of 42 units and a listed service value of 426 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 101 minutes. For upgrade, the requester follows the site-specific verification route associated with reference SOF-01-037-04-06-21439.",yes,requirement_doc,"[""W002_V04_P06_C1"", ""W002_V04_P06_C2""]","[""W002_V04_P06""]",yes
Q00041,W002,train,V05,stale,"If the index still contains V03 for SOF-01-037, can it safely answer a current question about deployment? Benchmark case TRAIN-SOF-01-037-14.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule,V03,V05,V03,ST0002,,"Stale: the index contains V03 while the current release is V05; selective refresh of the schedule page chunks [W002_V03_P07_C1, W002_V03_P07_C2, W002_V05_P07_C1, W002_V05_P07_C2] from V03 to V05 is required before answering.",yes,stale_case_linked,"[""W002_V03_P07_C1"", ""W002_V03_P07_C2"", ""W002_V05_P07_C1"", ""W002_V05_P07_C2""]","[""W002_V03_P07"", ""W002_V05_P07""]",yes
Q00042,W002,train,V06,conflict,"If an older security snapshot disagrees with the latest SOF-01-037 release about rollback, which source should govern the answer? Benchmark case TRAIN-SOF-01-037-15.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security,V04,V06,V04,,CF0002,The latest authoritative security release (V06) governs; the older snapshot (V04) is superseded. Conflict resolution rule: prefer the current authoritative source and cite it.,yes,conflict_prefer_current,"[""W002_V06_P08_C1"", ""W002_V06_P08_C2""]","[""W002_V04_P08"", ""W002_V06_P08""]",yes
