document_id,website_id,version,page_id,page_type,title,url_path,content
W001_V02_P01,W001,V02,P01,overview,Service Overview,/overview/EDU-01-000/v2/,"Reference EDU-01-000-02-01-09937 governs the service overview for Atlas Education North. The module workflow supports verification and records scholarship information under the North operating profile. Version 2 specifies a threshold of 74 units and a listed service value of 291 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 183 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-02-01-09937."
W001_V02_P02,W001,V02,P02,pricing,Pricing And Commercial Terms,/pricing/EDU-01-000/v2/,"Reference EDU-01-000-02-02-10250 governs the pricing and commercial terms for Atlas Education North. The assessment workflow supports verification and records module information under the North operating profile. Version 2 specifies a threshold of 71 units and a listed service value of 183 units. The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 134 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-02-02-10250."
W001_V02_P03,W001,V02,P03,policy,Operating Policy,/policy/EDU-01-000/v2/,"Reference EDU-01-000-02-03-10563 governs the operating policy for Atlas Education North. The scholarship workflow supports verification and records course information under the North operating profile. Version 2 specifies a threshold of 68 units and a listed service value of 75 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 85 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-02-03-10563."
W001_V02_P04,W001,V02,P04,support,Support Procedure,/support/EDU-01-000/v2/,"Reference EDU-01-000-02-04-10876 governs the support procedure for Atlas Education North. The lab workflow supports submission and records lab information under the North operating profile. Version 2 specifies a threshold of 65 units and a listed service value of 388 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 36 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-02-04-10876."
W001_V02_P05,W001,V02,P05,faq,Frequently Asked Questions,/faq/EDU-01-000/v2/,"Reference EDU-01-000-02-05-11189 governs the frequently asked questions for Atlas Education North. The certificate workflow supports submission and records scholarship information under the North operating profile. Version 2 specifies a threshold of 62 units and a listed service value of 280 units. The scheduled operating point is Thursday at 10:00, with a standard handling duration of 168 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-02-05-11189."
W001_V02_P06,W001,V02,P06,requirements,Eligibility And Requirements,/requirements/EDU-01-000/v2/,"Reference EDU-01-000-02-06-11502 governs the eligibility and requirements for Atlas Education North. The course workflow supports submission and records module information under the North operating profile. Version 2 specifies a threshold of 59 units and a listed service value of 172 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 119 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-02-06-11502."
W001_V02_P07,W001,V02,P07,schedule,Timing And Scheduling,/schedule/EDU-01-000/v2/,"Reference EDU-01-000-02-07-11815 governs the timing and scheduling for Atlas Education North. The module workflow supports attendance and records course information under the North operating profile. Version 2 specifies a threshold of 56 units and a listed service value of 64 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 70 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-02-07-11815."
W001_V02_P08,W001,V02,P08,security,Security And Access,/security/EDU-01-000/v2/,"Reference EDU-01-000-02-08-12128 governs the security and access for Atlas Education North. The assessment workflow supports attendance and records lab information under the North operating profile. Version 2 specifies a threshold of 53 units and a listed service value of 377 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 21 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-02-08-12128."
W001_V02_P09,W001,V02,P09,services,Available Services,/services/EDU-01-000/v2/,"Reference EDU-01-000-02-09-12441 governs the available services for Atlas Education North. The scholarship workflow supports attendance and records scholarship information under the North operating profile. Version 2 specifies a threshold of 50 units and a listed service value of 269 units. The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 153 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-02-09-12441."
W001_V02_P10,W001,V02,P10,contact,Contact Information,/contact/EDU-01-000/v2/,"Reference EDU-01-000-02-10-12754 governs the contact information for Atlas Education North. The lab workflow supports attendance and records module information under the North operating profile. Version 2 specifies a threshold of 47 units and a listed service value of 161 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 104 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-02-10-12754."
W001_V03_P01,W001,V03,P01,overview,Service Overview,/overview/EDU-01-000/v3/,"Reference EDU-01-000-03-01-10946 governs the service overview for Atlas Education North. The assessment workflow supports submission and records certificate information under the North operating profile. Version 3 specifies a threshold of 56 units and a listed service value of 37 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 106 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-03-01-10946."
W001_V03_P02,W001,V03,P02,pricing,Pricing And Commercial Terms,/pricing/EDU-01-000/v3/,"Reference EDU-01-000-03-02-11259 governs the pricing and commercial terms for Atlas Education North. The scholarship workflow supports submission and records scholarship information under the North operating profile. Version 3 specifies a threshold of 53 units and a listed service value of 350 units. The scheduled operating point is Thursday at 10:00, with a standard handling duration of 57 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-03-02-11259."
W001_V03_P03,W001,V03,P03,policy,Operating Policy,/policy/EDU-01-000/v3/,"Reference EDU-01-000-03-03-11572 governs the operating policy for Atlas Education North. The lab workflow supports submission and records assessment information under the North operating profile. Version 3 specifies a threshold of 50 units and a listed service value of 242 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 189 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-03-03-11572."
W001_V03_P04,W001,V03,P04,support,Support Procedure,/support/EDU-01-000/v3/,"Reference EDU-01-000-03-04-11885 governs the support procedure for Atlas Education North. The certificate workflow supports attendance and records course information under the North operating profile. Version 3 specifies a threshold of 47 units and a listed service value of 134 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 140 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-03-04-11885."
W001_V03_P05,W001,V03,P05,faq,Frequently Asked Questions,/faq/EDU-01-000/v3/,"Reference EDU-01-000-03-05-12198 governs the frequently asked questions for Atlas Education North. The course workflow supports attendance and records lab information under the North operating profile. Version 3 specifies a threshold of 44 units and a listed service value of 447 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 91 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-03-05-12198."
W001_V03_P06,W001,V03,P06,requirements,Eligibility And Requirements,/requirements/EDU-01-000/v3/,"Reference EDU-01-000-03-06-12511 governs the eligibility and requirements for Atlas Education North. The module workflow supports attendance and records scholarship information under the North operating profile. Version 3 specifies a threshold of 41 units and a listed service value of 339 units. The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 42 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-03-06-12511."
W001_V03_P07,W001,V03,P07,schedule,Timing And Scheduling,/schedule/EDU-01-000/v3/,"Reference EDU-01-000-03-07-12824 governs the timing and scheduling for Atlas Education North. The assessment workflow supports attendance and records module information under the North operating profile. Version 3 specifies a threshold of 38 units and a listed service value of 231 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 174 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-03-07-12824."
W001_V03_P08,W001,V03,P08,security,Security And Access,/security/EDU-01-000/v3/,"Reference EDU-01-000-03-08-13137 governs the security and access for Atlas Education North. The scholarship workflow supports withdrawal and records course information under the North operating profile. Version 3 specifies a threshold of 35 units and a listed service value of 123 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 125 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-03-08-13137."
W001_V03_P09,W001,V03,P09,services,Available Services,/services/EDU-01-000/v3/,"Reference EDU-01-000-03-09-13450 governs the available services for Atlas Education North. The lab workflow supports withdrawal and records lab information under the North operating profile. Version 3 specifies a threshold of 32 units and a listed service value of 436 units. The scheduled operating point is Thursday at 10:00, with a standard handling duration of 76 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-03-09-13450."
W001_V03_P10,W001,V03,P10,contact,Contact Information,/contact/EDU-01-000/v3/,"Reference EDU-01-000-03-10-13763 governs the contact information for Atlas Education North. The certificate workflow supports withdrawal and records scholarship information under the North operating profile. Version 3 specifies a threshold of 29 units and a listed service value of 328 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 27 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-03-10-13763."
W001_V04_P01,W001,V04,P01,overview,Service Overview,/overview/EDU-01-000/v4/,"Reference EDU-01-000-04-01-11955 governs the service overview for Atlas Education North. The scholarship workflow supports attendance and records course information under the North operating profile. Version 4 specifies a threshold of 38 units and a listed service value of 204 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 29 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-04-01-11955."
W001_V04_P02,W001,V04,P02,pricing,Pricing And Commercial Terms,/pricing/EDU-01-000/v4/,"Reference EDU-01-000-04-02-12268 governs the pricing and commercial terms for Atlas Education North. The lab workflow supports attendance and records certificate information under the North operating profile. Version 4 specifies a threshold of 35 units and a listed service value of 96 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 161 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-04-02-12268."
W001_V04_P03,W001,V04,P03,policy,Operating Policy,/policy/EDU-01-000/v4/,"Reference EDU-01-000-04-03-12581 governs the operating policy for Atlas Education North. The certificate workflow supports attendance and records scholarship information under the North operating profile. Version 4 specifies a threshold of 32 units and a listed service value of 409 units. The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 112 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-04-03-12581."
W001_V04_P04,W001,V04,P04,support,Support Procedure,/support/EDU-01-000/v4/,"Reference EDU-01-000-04-04-12894 governs the support procedure for Atlas Education North. The course workflow supports attendance and records assessment information under the North operating profile. Version 4 specifies a threshold of 29 units and a listed service value of 301 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 63 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-04-04-12894."
W001_V04_P05,W001,V04,P05,faq,Frequently Asked Questions,/faq/EDU-01-000/v4/,"Reference EDU-01-000-04-05-13207 governs the frequently asked questions for Atlas Education North. The module workflow supports withdrawal and records course information under the North operating profile. Version 4 specifies a threshold of 26 units and a listed service value of 193 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 195 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-04-05-13207."
W001_V04_P06,W001,V04,P06,requirements,Eligibility And Requirements,/requirements/EDU-01-000/v4/,"Reference EDU-01-000-04-06-13520 governs the eligibility and requirements for Atlas Education North. The assessment workflow supports withdrawal and records certificate information under the North operating profile. Version 4 specifies a threshold of 23 units and a listed service value of 85 units. The scheduled operating point is Thursday at 10:00, with a standard handling duration of 146 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-04-06-13520."
W001_V04_P07,W001,V04,P07,schedule,Timing And Scheduling,/schedule/EDU-01-000/v4/,"Reference EDU-01-000-04-07-13833 governs the timing and scheduling for Atlas Education North. The scholarship workflow supports withdrawal and records scholarship information under the North operating profile. Version 4 specifies a threshold of 20 units and a listed service value of 398 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 97 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-04-07-13833."
W001_V04_P08,W001,V04,P08,security,Security And Access,/security/EDU-01-000/v4/,"Reference EDU-01-000-04-08-14146 governs the security and access for Atlas Education North. The lab workflow supports enrolment and records assessment information under the North operating profile. Version 4 specifies a threshold of 17 units and a listed service value of 290 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 48 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-04-08-14146."
W001_V04_P09,W001,V04,P09,services,Available Services,/services/EDU-01-000/v4/,"Reference EDU-01-000-04-09-14459 governs the available services for Atlas Education North. The certificate workflow supports enrolment and records course information under the North operating profile. Version 4 specifies a threshold of 14 units and a listed service value of 182 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 180 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-04-09-14459."
W001_V04_P10,W001,V04,P10,contact,Contact Information,/contact/EDU-01-000/v4/,"Reference EDU-01-000-04-10-14772 governs the contact information for Atlas Education North. The course workflow supports enrolment and records lab information under the North operating profile. Version 4 specifies a threshold of 90 units and a listed service value of 74 units. The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 131 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-04-10-14772."
W001_V05_P01,W001,V05,P01,overview,Service Overview,/overview/EDU-01-000/v5/,"Reference EDU-01-000-05-01-12964 governs the service overview for Atlas Education North. The lab workflow supports attendance and records assessment information under the North operating profile. Version 5 specifies a threshold of 20 units and a listed service value of 371 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 133 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-05-01-12964."
W001_V05_P02,W001,V05,P02,pricing,Pricing And Commercial Terms,/pricing/EDU-01-000/v5/,"Reference EDU-01-000-05-02-13277 governs the pricing and commercial terms for Atlas Education North. The certificate workflow supports withdrawal and records module information under the North operating profile. Version 5 specifies a threshold of 17 units and a listed service value of 263 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 84 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-05-02-13277."
W001_V05_P03,W001,V05,P03,policy,Operating Policy,/policy/EDU-01-000/v5/,"Reference EDU-01-000-05-03-13590 governs the operating policy for Atlas Education North. The course workflow supports withdrawal and records certificate information under the North operating profile. Version 5 specifies a threshold of 14 units and a listed service value of 155 units. The scheduled operating point is Thursday at 10:00, with a standard handling duration of 35 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-05-03-13590."
W001_V05_P04,W001,V05,P04,support,Support Procedure,/support/EDU-01-000/v5/,"Reference EDU-01-000-05-04-13903 governs the support procedure for Atlas Education North. The module workflow supports withdrawal and records scholarship information under the North operating profile. Version 5 specifies a threshold of 90 units and a listed service value of 47 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 167 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-05-04-13903."
W001_V05_P05,W001,V05,P05,faq,Frequently Asked Questions,/faq/EDU-01-000/v5/,"Reference EDU-01-000-05-05-14216 governs the frequently asked questions for Atlas Education North. The assessment workflow supports enrolment and records assessment information under the North operating profile. Version 5 specifies a threshold of 87 units and a listed service value of 360 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 118 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-05-05-14216."
W001_V05_P06,W001,V05,P06,requirements,Eligibility And Requirements,/requirements/EDU-01-000/v5/,"Reference EDU-01-000-05-06-14529 governs the eligibility and requirements for Atlas Education North. The scholarship workflow supports enrolment and records course information under the North operating profile. Version 5 specifies a threshold of 84 units and a listed service value of 252 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 69 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-05-06-14529."
W001_V05_P07,W001,V05,P07,schedule,Timing And Scheduling,/schedule/EDU-01-000/v5/,"Reference EDU-01-000-05-07-14842 governs the timing and scheduling for Atlas Education North. The lab workflow supports enrolment and records certificate information under the North operating profile. Version 5 specifies a threshold of 81 units and a listed service value of 144 units. The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 20 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-05-07-14842."
W001_V05_P08,W001,V05,P08,security,Security And Access,/security/EDU-01-000/v5/,"Reference EDU-01-000-05-08-15155 governs the security and access for Atlas Education North. The certificate workflow supports enrolment and records scholarship information under the North operating profile. Version 5 specifies a threshold of 78 units and a listed service value of 457 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 152 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-05-08-15155."
W001_V05_P09,W001,V05,P09,services,Available Services,/services/EDU-01-000/v5/,"Reference EDU-01-000-05-09-15468 governs the available services for Atlas Education North. The course workflow supports verification and records assessment information under the North operating profile. Version 5 specifies a threshold of 75 units and a listed service value of 349 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 103 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-05-09-15468."
W001_V05_P10,W001,V05,P10,contact,Contact Information,/contact/EDU-01-000/v5/,"Reference EDU-01-000-05-10-15781 governs the contact information for Atlas Education North. The module workflow supports verification and records course information under the North operating profile. Version 5 specifies a threshold of 72 units and a listed service value of 241 units. The scheduled operating point is Thursday at 10:00, with a standard handling duration of 54 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-05-10-15781."
W001_V06_P01,W001,V06,P01,overview,Service Overview,/overview/EDU-01-000/v6/,"Reference EDU-01-000-06-01-13973 governs the service overview for Atlas Education North. The certificate workflow supports withdrawal and records lab information under the North operating profile. Version 6 specifies a threshold of 81 units and a listed service value of 117 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 56 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-06-01-13973."
W001_V06_P02,W001,V06,P02,pricing,Pricing And Commercial Terms,/pricing/EDU-01-000/v6/,"Reference EDU-01-000-06-02-14286 governs the pricing and commercial terms for Atlas Education North. The course workflow supports enrolment and records assessment information under the North operating profile. Version 6 specifies a threshold of 78 units and a listed service value of 430 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 188 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-06-02-14286."
W001_V06_P03,W001,V06,P03,policy,Operating Policy,/policy/EDU-01-000/v6/,"Reference EDU-01-000-06-03-14599 governs the operating policy for Atlas Education North. The module workflow supports enrolment and records module information under the North operating profile. Version 6 specifies a threshold of 75 units and a listed service value of 322 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 139 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-06-03-14599."
W001_V06_P04,W001,V06,P04,support,Support Procedure,/support/EDU-01-000/v6/,"Reference EDU-01-000-06-04-14912 governs the support procedure for Atlas Education North. The assessment workflow supports enrolment and records certificate information under the North operating profile. Version 6 specifies a threshold of 72 units and a listed service value of 214 units. The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 90 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-06-04-14912."
W001_V06_P05,W001,V06,P05,faq,Frequently Asked Questions,/faq/EDU-01-000/v6/,"Reference EDU-01-000-06-05-15225 governs the frequently asked questions for Atlas Education North. The scholarship workflow supports enrolment and records lab information under the North operating profile. Version 6 specifies a threshold of 69 units and a listed service value of 106 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 41 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-06-05-15225."
W001_V06_P06,W001,V06,P06,requirements,Eligibility And Requirements,/requirements/EDU-01-000/v6/,"Reference EDU-01-000-06-06-15538 governs the eligibility and requirements for Atlas Education North. The lab workflow supports verification and records assessment information under the North operating profile. Version 6 specifies a threshold of 66 units and a listed service value of 419 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 173 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-06-06-15538."
W001_V06_P07,W001,V06,P07,schedule,Timing And Scheduling,/schedule/EDU-01-000/v6/,"Reference EDU-01-000-06-07-15851 governs the timing and scheduling for Atlas Education North. The certificate workflow supports verification and records module information under the North operating profile. Version 6 specifies a threshold of 63 units and a listed service value of 311 units. The scheduled operating point is Thursday at 10:00, with a standard handling duration of 124 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-06-07-15851."
W001_V06_P08,W001,V06,P08,security,Security And Access,/security/EDU-01-000/v6/,"Reference EDU-01-000-06-08-16164 governs the security and access for Atlas Education North. The course workflow supports verification and records certificate information under the North operating profile. Version 6 specifies a threshold of 60 units and a listed service value of 203 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 75 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-06-08-16164."
W001_V06_P09,W001,V06,P09,services,Available Services,/services/EDU-01-000/v6/,"Reference EDU-01-000-06-09-16477 governs the available services for Atlas Education North. The module workflow supports submission and records scholarship information under the North operating profile. Version 6 specifies a threshold of 57 units and a listed service value of 95 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 26 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-06-09-16477."
W001_V06_P10,W001,V06,P10,contact,Contact Information,/contact/EDU-01-000/v6/,"Reference EDU-01-000-06-10-16790 governs the contact information for Atlas Education North. The assessment workflow supports submission and records assessment information under the North operating profile. Version 6 specifies a threshold of 54 units and a listed service value of 408 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 158 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-06-10-16790."
W001_V07_P01,W001,V07,P01,overview,Service Overview,/overview/EDU-01-000/v7/,"Reference EDU-01-000-07-01-14982 governs the service overview for Atlas Education North. The course workflow supports enrolment and records course information under the North operating profile. Version 7 specifies a threshold of 63 units and a listed service value of 284 units. The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 160 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-07-01-14982."
W001_V07_P02,W001,V07,P02,pricing,Pricing And Commercial Terms,/pricing/EDU-01-000/v7/,"Reference EDU-01-000-07-02-15295 governs the pricing and commercial terms for Atlas Education North. The module workflow supports enrolment and records lab information under the North operating profile. Version 7 specifies a threshold of 60 units and a listed service value of 176 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 111 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-07-02-15295."
W001_V07_P03,W001,V07,P03,policy,Operating Policy,/policy/EDU-01-000/v7/,"Reference EDU-01-000-07-03-15608 governs the operating policy for Atlas Education North. The assessment workflow supports verification and records assessment information under the North operating profile. Version 7 specifies a threshold of 57 units and a listed service value of 68 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 62 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-07-03-15608."
W001_V07_P04,W001,V07,P04,support,Support Procedure,/support/EDU-01-000/v7/,"Reference EDU-01-000-07-04-15921 governs the support procedure for Atlas Education North. The scholarship workflow supports verification and records module information under the North operating profile. Version 7 specifies a threshold of 54 units and a listed service value of 381 units. The scheduled operating point is Thursday at 10:00, with a standard handling duration of 194 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-07-04-15921."
W001_V07_P05,W001,V07,P05,faq,Frequently Asked Questions,/faq/EDU-01-000/v7/,"Reference EDU-01-000-07-05-16234 governs the frequently asked questions for Atlas Education North. The lab workflow supports verification and records certificate information under the North operating profile. Version 7 specifies a threshold of 51 units and a listed service value of 273 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 145 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-07-05-16234."
W001_V07_P06,W001,V07,P06,requirements,Eligibility And Requirements,/requirements/EDU-01-000/v7/,"Reference EDU-01-000-07-06-16547 governs the eligibility and requirements for Atlas Education North. The certificate workflow supports submission and records lab information under the North operating profile. Version 7 specifies a threshold of 48 units and a listed service value of 165 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 96 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-07-06-16547."
