question_id,website_id,split,target_version,question_type,question,expected_behavior,retrieval_label,freshness_sensitive,source_page_type
Q00072,W003,train,V10,comparison,"Between V09 and V10, what changed for the reservation workflow on TRA-01-074? Benchmark case TRAIN-TRA-01-074-19.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00073,W003,train,V01,change_detection,Which lifecycle change type should be assigned to the V01 update affecting modification on TRA-01-074? Benchmark case TRAIN-TRA-01-074-20.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00074,W003,train,V02,policy,What is the current operating rule for modification in the East profile of Atlas Travel East? Benchmark case TRAIN-TRA-01-074-21.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00075,W003,train,V03,requirement,What information is required before modification for reference TRA-01-074 in V03? Benchmark case TRAIN-TRA-01-074-22.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00076,W003,train,V04,stale,"If the index still contains V02 for TRA-01-074, can it safely answer a current question about reservation? Benchmark case TRAIN-TRA-01-074-23.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00077,W003,train,V05,conflict,"If an older security snapshot disagrees with the latest TRA-01-074 release about modification, which source should govern the answer? Benchmark case TRAIN-TRA-01-074-24.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00078,W003,train,V06,multi_document,"For TRA-01-074, combine the services and support guidance to explain how modification is handled. Benchmark case TRAIN-TRA-01-074-25.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00079,W004,train,V01,policy,What is the current operating rule for upgrade in the West profile of Atlas Hospitality West? Benchmark case TRAIN-HOS-01-111-00.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00080,W004,train,V02,requirement,What information is required before upgrade for reference HOS-01-111 in V02? Benchmark case TRAIN-HOS-01-111-01.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00081,W004,train,V03,stale,"If the index still contains V01 for HOS-01-111, can it safely answer a current question about package? Benchmark case TRAIN-HOS-01-111-02.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00082,W004,train,V04,conflict,"If an older security snapshot disagrees with the latest HOS-01-111 release about upgrade, which source should govern the answer? Benchmark case TRAIN-HOS-01-111-03.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00083,W004,train,V05,multi_document,"For HOS-01-111, combine the services and support guidance to explain how upgrade is handled. Benchmark case TRAIN-HOS-01-111-04.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00084,W004,train,V06,retrieval_control,Control HOS-01-111-05: what is 387 + 237? Benchmark case TRAIN-HOS-01-111-05.,Answer 624 without corpus retrieval.,retrieval_not_needed,no,contact
Q00085,W004,train,V07,freshness,"For Atlas Hospitality West (HOS-01-111), what is the current published value associated with package in version V07? Benchmark case TRAIN-HOS-01-111-06.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00086,W004,train,V08,historical,"In website HOS-01-111, what did the pricing guidance say in V08, and how is that different from the current release? Benchmark case TRAIN-HOS-01-111-07.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00087,W004,train,V09,comparison,"Between V08 and V09, what changed for the package workflow on HOS-01-111? Benchmark case TRAIN-HOS-01-111-08.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00088,W004,train,V10,change_detection,Which lifecycle change type should be assigned to the V10 update affecting upgrade on HOS-01-111? Benchmark case TRAIN-HOS-01-111-09.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00089,W004,train,V01,policy,What is the current operating rule for upgrade in the West profile of Atlas Hospitality West? Benchmark case TRAIN-HOS-01-111-10.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00090,W004,train,V02,requirement,What information is required before upgrade for reference HOS-01-111 in V02? Benchmark case TRAIN-HOS-01-111-11.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00091,W004,train,V03,stale,"If the index still contains V01 for HOS-01-111, can it safely answer a current question about package? Benchmark case TRAIN-HOS-01-111-12.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00092,W004,train,V04,conflict,"If an older security snapshot disagrees with the latest HOS-01-111 release about upgrade, which source should govern the answer? Benchmark case TRAIN-HOS-01-111-13.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00093,W004,train,V05,multi_document,"For HOS-01-111, combine the services and support guidance to explain how upgrade is handled. Benchmark case TRAIN-HOS-01-111-14.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00094,W004,train,V06,retrieval_control,Control HOS-01-111-15: what is 857 + 207? Benchmark case TRAIN-HOS-01-111-15.,Answer 1064 without corpus retrieval.,retrieval_not_needed,no,contact
Q00095,W004,train,V07,freshness,"For Atlas Hospitality West (HOS-01-111), what is the current published value associated with package in version V07? Benchmark case TRAIN-HOS-01-111-16.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00096,W004,train,V08,historical,"In website HOS-01-111, what did the pricing guidance say in V08, and how is that different from the current release? Benchmark case TRAIN-HOS-01-111-17.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00097,W004,train,V09,comparison,"Between V08 and V09, what changed for the package workflow on HOS-01-111? Benchmark case TRAIN-HOS-01-111-18.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00098,W004,train,V10,change_detection,Which lifecycle change type should be assigned to the V10 update affecting upgrade on HOS-01-111? Benchmark case TRAIN-HOS-01-111-19.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00099,W004,train,V01,policy,What is the current operating rule for upgrade in the West profile of Atlas Hospitality West? Benchmark case TRAIN-HOS-01-111-20.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00100,W004,train,V02,requirement,What information is required before upgrade for reference HOS-01-111 in V02? Benchmark case TRAIN-HOS-01-111-21.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00101,W004,train,V03,stale,"If the index still contains V01 for HOS-01-111, can it safely answer a current question about package? Benchmark case TRAIN-HOS-01-111-22.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00102,W004,train,V04,conflict,"If an older security snapshot disagrees with the latest HOS-01-111 release about upgrade, which source should govern the answer? Benchmark case TRAIN-HOS-01-111-23.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00103,W004,train,V05,multi_document,"For HOS-01-111, combine the services and support guidance to explain how upgrade is handled. Benchmark case TRAIN-HOS-01-111-24.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00104,W004,train,V06,retrieval_control,Control HOS-01-111-25: what is 427 + 177? Benchmark case TRAIN-HOS-01-111-25.,Answer 604 without corpus retrieval.,retrieval_not_needed,no,contact
Q00105,W005,train,V01,requirement,What information is required before booking for reference HEA-01-148 in V01? Benchmark case TRAIN-HEA-01-148-00.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00106,W005,train,V02,stale,"If the index still contains V01 for HEA-01-148, can it safely answer a current question about session? Benchmark case TRAIN-HEA-01-148-01.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00107,W005,train,V03,conflict,"If an older security snapshot disagrees with the latest HEA-01-148 release about booking, which source should govern the answer? Benchmark case TRAIN-HEA-01-148-02.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00108,W005,train,V04,multi_document,"For HEA-01-148, combine the services and support guidance to explain how booking is handled. Benchmark case TRAIN-HEA-01-148-03.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00109,W005,train,V05,retrieval_control,Control HEA-01-148-04: what is 333 + 283? Benchmark case TRAIN-HEA-01-148-04.,Answer 616 without corpus retrieval.,retrieval_not_needed,no,contact
Q00110,W005,train,V06,freshness,"For Atlas Healthcare Central (HEA-01-148), what is the current published value associated with session in version V06? Benchmark case TRAIN-HEA-01-148-05.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00111,W005,train,V07,historical,"In website HEA-01-148, what did the pricing guidance say in V07, and how is that different from the current release? Benchmark case TRAIN-HEA-01-148-06.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00112,W005,train,V08,comparison,"Between V07 and V08, what changed for the session workflow on HEA-01-148? Benchmark case TRAIN-HEA-01-148-07.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00113,W005,train,V09,change_detection,Which lifecycle change type should be assigned to the V09 update affecting booking on HEA-01-148? Benchmark case TRAIN-HEA-01-148-08.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00114,W005,train,V10,policy,What is the current operating rule for booking in the Central profile of Atlas Healthcare Central? Benchmark case TRAIN-HEA-01-148-09.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00115,W005,train,V01,requirement,What information is required before booking for reference HEA-01-148 in V01? Benchmark case TRAIN-HEA-01-148-10.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00116,W005,train,V02,stale,"If the index still contains V01 for HEA-01-148, can it safely answer a current question about session? Benchmark case TRAIN-HEA-01-148-11.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00117,W005,train,V03,conflict,"If an older security snapshot disagrees with the latest HEA-01-148 release about booking, which source should govern the answer? Benchmark case TRAIN-HEA-01-148-12.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00118,W005,train,V04,multi_document,"For HEA-01-148, combine the services and support guidance to explain how booking is handled. Benchmark case TRAIN-HEA-01-148-13.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00119,W005,train,V05,retrieval_control,Control HEA-01-148-14: what is 803 + 253? Benchmark case TRAIN-HEA-01-148-14.,Answer 1056 without corpus retrieval.,retrieval_not_needed,no,contact
Q00120,W005,train,V06,freshness,"For Atlas Healthcare Central (HEA-01-148), what is the current published value associated with session in version V06? Benchmark case TRAIN-HEA-01-148-15.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00121,W005,train,V07,historical,"In website HEA-01-148, what did the pricing guidance say in V07, and how is that different from the current release? Benchmark case TRAIN-HEA-01-148-16.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00122,W005,train,V08,comparison,"Between V07 and V08, what changed for the session workflow on HEA-01-148? Benchmark case TRAIN-HEA-01-148-17.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00123,W005,train,V09,change_detection,Which lifecycle change type should be assigned to the V09 update affecting booking on HEA-01-148? Benchmark case TRAIN-HEA-01-148-18.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00124,W005,train,V10,policy,What is the current operating rule for booking in the Central profile of Atlas Healthcare Central? Benchmark case TRAIN-HEA-01-148-19.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00125,W005,train,V01,requirement,What information is required before booking for reference HEA-01-148 in V01? Benchmark case TRAIN-HEA-01-148-20.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00126,W005,train,V02,stale,"If the index still contains V01 for HEA-01-148, can it safely answer a current question about session? Benchmark case TRAIN-HEA-01-148-21.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00127,W005,train,V03,conflict,"If an older security snapshot disagrees with the latest HEA-01-148 release about booking, which source should govern the answer? Benchmark case TRAIN-HEA-01-148-22.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00128,W005,train,V04,multi_document,"For HEA-01-148, combine the services and support guidance to explain how booking is handled. Benchmark case TRAIN-HEA-01-148-23.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00129,W005,train,V05,retrieval_control,Control HEA-01-148-24: what is 373 + 223? Benchmark case TRAIN-HEA-01-148-24.,Answer 596 without corpus retrieval.,retrieval_not_needed,no,contact
Q00130,W005,train,V06,freshness,"For Atlas Healthcare Central (HEA-01-148), what is the current published value associated with session in version V06? Benchmark case TRAIN-HEA-01-148-25.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00131,W006,train,V01,stale,"If the index still contains V01 for FIN-01-185, can it safely answer a current question about account? Benchmark case TRAIN-FIN-01-185-00.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00132,W006,train,V02,conflict,"If an older security snapshot disagrees with the latest FIN-01-185 release about transfer, which source should govern the answer? Benchmark case TRAIN-FIN-01-185-01.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00133,W006,train,V03,multi_document,"For FIN-01-185, combine the services and support guidance to explain how transfer is handled. Benchmark case TRAIN-FIN-01-185-02.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00134,W006,train,V04,retrieval_control,Control FIN-01-185-03: what is 279 + 329? Benchmark case TRAIN-FIN-01-185-03.,Answer 608 without corpus retrieval.,retrieval_not_needed,no,contact
