chunk_id,document_id,website_id,version,page_id,page_type,chunk_index,text,source_path
W001_V01_P07_C2,W001_V01_P07,W001,V01,P07,schedule,2,"The scheduled operating point is Saturday at 12:00, with a standard handling duration of 147 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-01-07-10806.",/schedule/EDU-01-000/v1/
W001_V01_P08_C1,W001_V01_P08,W001,V01,P08,security,1,Reference EDU-01-000-01-08-11119 governs the security and access for Atlas Education North. The module workflow supports submission and records assessment information under the North operating profile. Version 1 specifies a threshold of 71 units and a listed service value of 210 units.,/security/EDU-01-000/v1/
W001_V01_P08_C2,W001_V01_P08,W001,V01,P08,security,2,"The scheduled operating point is Thursday at 10:00, with a standard handling duration of 98 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-01-08-11119.",/security/EDU-01-000/v1/
W001_V01_P09_C1,W001_V01_P09,W001,V01,P09,services,1,Reference EDU-01-000-01-09-11432 governs the available services for Atlas Education North. The assessment workflow supports submission and records module information under the North operating profile. Version 1 specifies a threshold of 68 units and a listed service value of 102 units.,/services/EDU-01-000/v1/
W001_V01_P09_C2,W001_V01_P09,W001,V01,P09,services,2,"The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 49 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-01-09-11432.",/services/EDU-01-000/v1/
W001_V01_P10_C1,W001_V01_P10,W001,V01,P10,contact,1,Reference EDU-01-000-01-10-11745 governs the contact information for Atlas Education North. The scholarship workflow supports attendance and records certificate information under the North operating profile. Version 1 specifies a threshold of 65 units and a listed service value of 415 units.,/contact/EDU-01-000/v1/
W001_V01_P10_C2,W001_V01_P10,W001,V01,P10,contact,2,"The scheduled operating point is Sunday at 13:00, with a standard handling duration of 181 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-01-10-11745.",/contact/EDU-01-000/v1/
W001_V02_P01_C1,W001_V02_P01,W001,V02,P01,overview,1,Reference EDU-01-000-02-01-09937 governs the service overview for Atlas Education North. The module workflow supports verification and records scholarship information under the North operating profile. Version 2 specifies a threshold of 74 units and a listed service value of 291 units.,/overview/EDU-01-000/v2/
W001_V02_P01_C2,W001_V02_P01,W001,V02,P01,overview,2,"The scheduled operating point is Friday at 11:00, with a standard handling duration of 183 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-02-01-09937.",/overview/EDU-01-000/v2/
W001_V02_P02_C1,W001_V02_P02,W001,V02,P02,pricing,1,Reference EDU-01-000-02-02-10250 governs the pricing and commercial terms for Atlas Education North. The assessment workflow supports verification and records module information under the North operating profile. Version 2 specifies a threshold of 71 units and a listed service value of 183 units.,/pricing/EDU-01-000/v2/
W001_V02_P02_C2,W001_V02_P02,W001,V02,P02,pricing,2,"The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 134 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-02-02-10250.",/pricing/EDU-01-000/v2/
W001_V02_P03_C1,W001_V02_P03,W001,V02,P03,policy,1,Reference EDU-01-000-02-03-10563 governs the operating policy for Atlas Education North. The scholarship workflow supports verification and records course information under the North operating profile. Version 2 specifies a threshold of 68 units and a listed service value of 75 units.,/policy/EDU-01-000/v2/
W001_V02_P03_C2,W001_V02_P03,W001,V02,P03,policy,2,"The scheduled operating point is Monday at 07:00, with a standard handling duration of 85 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-02-03-10563.",/policy/EDU-01-000/v2/
W001_V02_P04_C1,W001_V02_P04,W001,V02,P04,support,1,Reference EDU-01-000-02-04-10876 governs the support procedure for Atlas Education North. The lab workflow supports submission and records lab information under the North operating profile. Version 2 specifies a threshold of 65 units and a listed service value of 388 units.,/support/EDU-01-000/v2/
W001_V02_P04_C2,W001_V02_P04,W001,V02,P04,support,2,"The scheduled operating point is Saturday at 12:00, with a standard handling duration of 36 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-02-04-10876.",/support/EDU-01-000/v2/
W001_V02_P05_C1,W001_V02_P05,W001,V02,P05,faq,1,Reference EDU-01-000-02-05-11189 governs the frequently asked questions for Atlas Education North. The certificate workflow supports submission and records scholarship information under the North operating profile. Version 2 specifies a threshold of 62 units and a listed service value of 280 units.,/faq/EDU-01-000/v2/
W001_V02_P05_C2,W001_V02_P05,W001,V02,P05,faq,2,"The scheduled operating point is Thursday at 10:00, with a standard handling duration of 168 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-02-05-11189.",/faq/EDU-01-000/v2/
W001_V02_P06_C1,W001_V02_P06,W001,V02,P06,requirements,1,Reference EDU-01-000-02-06-11502 governs the eligibility and requirements for Atlas Education North. The course workflow supports submission and records module information under the North operating profile. Version 2 specifies a threshold of 59 units and a listed service value of 172 units.,/requirements/EDU-01-000/v2/
W001_V02_P06_C2,W001_V02_P06,W001,V02,P06,requirements,2,"The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 119 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-02-06-11502.",/requirements/EDU-01-000/v2/
W001_V02_P07_C1,W001_V02_P07,W001,V02,P07,schedule,1,Reference EDU-01-000-02-07-11815 governs the timing and scheduling for Atlas Education North. The module workflow supports attendance and records course information under the North operating profile. Version 2 specifies a threshold of 56 units and a listed service value of 64 units.,/schedule/EDU-01-000/v2/
W001_V02_P07_C2,W001_V02_P07,W001,V02,P07,schedule,2,"The scheduled operating point is Sunday at 13:00, with a standard handling duration of 70 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-02-07-11815.",/schedule/EDU-01-000/v2/
W001_V02_P08_C1,W001_V02_P08,W001,V02,P08,security,1,Reference EDU-01-000-02-08-12128 governs the security and access for Atlas Education North. The assessment workflow supports attendance and records lab information under the North operating profile. Version 2 specifies a threshold of 53 units and a listed service value of 377 units.,/security/EDU-01-000/v2/
W001_V02_P08_C2,W001_V02_P08,W001,V02,P08,security,2,"The scheduled operating point is Friday at 11:00, with a standard handling duration of 21 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-02-08-12128.",/security/EDU-01-000/v2/
W001_V02_P09_C1,W001_V02_P09,W001,V02,P09,services,1,Reference EDU-01-000-02-09-12441 governs the available services for Atlas Education North. The scholarship workflow supports attendance and records scholarship information under the North operating profile. Version 2 specifies a threshold of 50 units and a listed service value of 269 units.,/services/EDU-01-000/v2/
W001_V02_P09_C2,W001_V02_P09,W001,V02,P09,services,2,"The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 153 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-02-09-12441.",/services/EDU-01-000/v2/
W001_V02_P10_C1,W001_V02_P10,W001,V02,P10,contact,1,Reference EDU-01-000-02-10-12754 governs the contact information for Atlas Education North. The lab workflow supports attendance and records module information under the North operating profile. Version 2 specifies a threshold of 47 units and a listed service value of 161 units.,/contact/EDU-01-000/v2/
W001_V02_P10_C2,W001_V02_P10,W001,V02,P10,contact,2,"The scheduled operating point is Monday at 07:00, with a standard handling duration of 104 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-02-10-12754.",/contact/EDU-01-000/v2/
W001_V03_P01_C1,W001_V03_P01,W001,V03,P01,overview,1,Reference EDU-01-000-03-01-10946 governs the service overview for Atlas Education North. The assessment workflow supports submission and records certificate information under the North operating profile. Version 3 specifies a threshold of 56 units and a listed service value of 37 units.,/overview/EDU-01-000/v3/
W001_V03_P01_C2,W001_V03_P01,W001,V03,P01,overview,2,"The scheduled operating point is Saturday at 12:00, with a standard handling duration of 106 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-03-01-10946.",/overview/EDU-01-000/v3/
W001_V03_P02_C1,W001_V03_P02,W001,V03,P02,pricing,1,Reference EDU-01-000-03-02-11259 governs the pricing and commercial terms for Atlas Education North. The scholarship workflow supports submission and records scholarship information under the North operating profile. Version 3 specifies a threshold of 53 units and a listed service value of 350 units.,/pricing/EDU-01-000/v3/
W001_V03_P02_C2,W001_V03_P02,W001,V03,P02,pricing,2,"The scheduled operating point is Thursday at 10:00, with a standard handling duration of 57 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-03-02-11259.",/pricing/EDU-01-000/v3/
W001_V03_P03_C1,W001_V03_P03,W001,V03,P03,policy,1,Reference EDU-01-000-03-03-11572 governs the operating policy for Atlas Education North. The lab workflow supports submission and records assessment information under the North operating profile. Version 3 specifies a threshold of 50 units and a listed service value of 242 units.,/policy/EDU-01-000/v3/
W001_V03_P03_C2,W001_V03_P03,W001,V03,P03,policy,2,"The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 189 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-03-03-11572.",/policy/EDU-01-000/v3/
W001_V03_P04_C1,W001_V03_P04,W001,V03,P04,support,1,Reference EDU-01-000-03-04-11885 governs the support procedure for Atlas Education North. The certificate workflow supports attendance and records course information under the North operating profile. Version 3 specifies a threshold of 47 units and a listed service value of 134 units.,/support/EDU-01-000/v3/
W001_V03_P04_C2,W001_V03_P04,W001,V03,P04,support,2,"The scheduled operating point is Sunday at 13:00, with a standard handling duration of 140 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-03-04-11885.",/support/EDU-01-000/v3/
W001_V03_P05_C1,W001_V03_P05,W001,V03,P05,faq,1,Reference EDU-01-000-03-05-12198 governs the frequently asked questions for Atlas Education North. The course workflow supports attendance and records lab information under the North operating profile. Version 3 specifies a threshold of 44 units and a listed service value of 447 units.,/faq/EDU-01-000/v3/
W001_V03_P05_C2,W001_V03_P05,W001,V03,P05,faq,2,"The scheduled operating point is Friday at 11:00, with a standard handling duration of 91 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-03-05-12198.",/faq/EDU-01-000/v3/
W001_V03_P06_C1,W001_V03_P06,W001,V03,P06,requirements,1,Reference EDU-01-000-03-06-12511 governs the eligibility and requirements for Atlas Education North. The module workflow supports attendance and records scholarship information under the North operating profile. Version 3 specifies a threshold of 41 units and a listed service value of 339 units.,/requirements/EDU-01-000/v3/
W001_V03_P06_C2,W001_V03_P06,W001,V03,P06,requirements,2,"The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 42 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-03-06-12511.",/requirements/EDU-01-000/v3/
W001_V03_P07_C1,W001_V03_P07,W001,V03,P07,schedule,1,Reference EDU-01-000-03-07-12824 governs the timing and scheduling for Atlas Education North. The assessment workflow supports attendance and records module information under the North operating profile. Version 3 specifies a threshold of 38 units and a listed service value of 231 units.,/schedule/EDU-01-000/v3/
W001_V03_P07_C2,W001_V03_P07,W001,V03,P07,schedule,2,"The scheduled operating point is Monday at 07:00, with a standard handling duration of 174 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-03-07-12824.",/schedule/EDU-01-000/v3/
W001_V03_P08_C1,W001_V03_P08,W001,V03,P08,security,1,Reference EDU-01-000-03-08-13137 governs the security and access for Atlas Education North. The scholarship workflow supports withdrawal and records course information under the North operating profile. Version 3 specifies a threshold of 35 units and a listed service value of 123 units.,/security/EDU-01-000/v3/
W001_V03_P08_C2,W001_V03_P08,W001,V03,P08,security,2,"The scheduled operating point is Saturday at 12:00, with a standard handling duration of 125 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-03-08-13137.",/security/EDU-01-000/v3/
W001_V03_P09_C1,W001_V03_P09,W001,V03,P09,services,1,Reference EDU-01-000-03-09-13450 governs the available services for Atlas Education North. The lab workflow supports withdrawal and records lab information under the North operating profile. Version 3 specifies a threshold of 32 units and a listed service value of 436 units.,/services/EDU-01-000/v3/
W001_V03_P09_C2,W001_V03_P09,W001,V03,P09,services,2,"The scheduled operating point is Thursday at 10:00, with a standard handling duration of 76 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-03-09-13450.",/services/EDU-01-000/v3/
W001_V03_P10_C1,W001_V03_P10,W001,V03,P10,contact,1,Reference EDU-01-000-03-10-13763 governs the contact information for Atlas Education North. The certificate workflow supports withdrawal and records scholarship information under the North operating profile. Version 3 specifies a threshold of 29 units and a listed service value of 328 units.,/contact/EDU-01-000/v3/
W001_V03_P10_C2,W001_V03_P10,W001,V03,P10,contact,2,"The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 27 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-03-10-13763.",/contact/EDU-01-000/v3/
W001_V04_P01_C1,W001_V04_P01,W001,V04,P01,overview,1,Reference EDU-01-000-04-01-11955 governs the service overview for Atlas Education North. The scholarship workflow supports attendance and records course information under the North operating profile. Version 4 specifies a threshold of 38 units and a listed service value of 204 units.,/overview/EDU-01-000/v4/
W001_V04_P01_C2,W001_V04_P01,W001,V04,P01,overview,2,"The scheduled operating point is Sunday at 13:00, with a standard handling duration of 29 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-04-01-11955.",/overview/EDU-01-000/v4/
W001_V04_P02_C1,W001_V04_P02,W001,V04,P02,pricing,1,Reference EDU-01-000-04-02-12268 governs the pricing and commercial terms for Atlas Education North. The lab workflow supports attendance and records certificate information under the North operating profile. Version 4 specifies a threshold of 35 units and a listed service value of 96 units.,/pricing/EDU-01-000/v4/
W001_V04_P02_C2,W001_V04_P02,W001,V04,P02,pricing,2,"The scheduled operating point is Friday at 11:00, with a standard handling duration of 161 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-04-02-12268.",/pricing/EDU-01-000/v4/
W001_V04_P03_C1,W001_V04_P03,W001,V04,P03,policy,1,Reference EDU-01-000-04-03-12581 governs the operating policy for Atlas Education North. The certificate workflow supports attendance and records scholarship information under the North operating profile. Version 4 specifies a threshold of 32 units and a listed service value of 409 units.,/policy/EDU-01-000/v4/
W001_V04_P03_C2,W001_V04_P03,W001,V04,P03,policy,2,"The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 112 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-04-03-12581.",/policy/EDU-01-000/v4/
W001_V04_P04_C1,W001_V04_P04,W001,V04,P04,support,1,Reference EDU-01-000-04-04-12894 governs the support procedure for Atlas Education North. The course workflow supports attendance and records assessment information under the North operating profile. Version 4 specifies a threshold of 29 units and a listed service value of 301 units.,/support/EDU-01-000/v4/
W001_V04_P04_C2,W001_V04_P04,W001,V04,P04,support,2,"The scheduled operating point is Monday at 07:00, with a standard handling duration of 63 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-04-04-12894.",/support/EDU-01-000/v4/
W001_V04_P05_C1,W001_V04_P05,W001,V04,P05,faq,1,Reference EDU-01-000-04-05-13207 governs the frequently asked questions for Atlas Education North. The module workflow supports withdrawal and records course information under the North operating profile. Version 4 specifies a threshold of 26 units and a listed service value of 193 units.,/faq/EDU-01-000/v4/
W001_V04_P05_C2,W001_V04_P05,W001,V04,P05,faq,2,"The scheduled operating point is Saturday at 12:00, with a standard handling duration of 195 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-04-05-13207.",/faq/EDU-01-000/v4/
W001_V04_P06_C1,W001_V04_P06,W001,V04,P06,requirements,1,Reference EDU-01-000-04-06-13520 governs the eligibility and requirements for Atlas Education North. The assessment workflow supports withdrawal and records certificate information under the North operating profile. Version 4 specifies a threshold of 23 units and a listed service value of 85 units.,/requirements/EDU-01-000/v4/
W001_V04_P06_C2,W001_V04_P06,W001,V04,P06,requirements,2,"The scheduled operating point is Thursday at 10:00, with a standard handling duration of 146 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-04-06-13520.",/requirements/EDU-01-000/v4/
W001_V04_P07_C1,W001_V04_P07,W001,V04,P07,schedule,1,Reference EDU-01-000-04-07-13833 governs the timing and scheduling for Atlas Education North. The scholarship workflow supports withdrawal and records scholarship information under the North operating profile. Version 4 specifies a threshold of 20 units and a listed service value of 398 units.,/schedule/EDU-01-000/v4/
W001_V04_P07_C2,W001_V04_P07,W001,V04,P07,schedule,2,"The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 97 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-04-07-13833.",/schedule/EDU-01-000/v4/
W001_V04_P08_C1,W001_V04_P08,W001,V04,P08,security,1,Reference EDU-01-000-04-08-14146 governs the security and access for Atlas Education North. The lab workflow supports enrolment and records assessment information under the North operating profile. Version 4 specifies a threshold of 17 units and a listed service value of 290 units.,/security/EDU-01-000/v4/
W001_V04_P08_C2,W001_V04_P08,W001,V04,P08,security,2,"The scheduled operating point is Sunday at 13:00, with a standard handling duration of 48 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-04-08-14146.",/security/EDU-01-000/v4/
W001_V04_P09_C1,W001_V04_P09,W001,V04,P09,services,1,Reference EDU-01-000-04-09-14459 governs the available services for Atlas Education North. The certificate workflow supports enrolment and records course information under the North operating profile. Version 4 specifies a threshold of 14 units and a listed service value of 182 units.,/services/EDU-01-000/v4/
W001_V04_P09_C2,W001_V04_P09,W001,V04,P09,services,2,"The scheduled operating point is Friday at 11:00, with a standard handling duration of 180 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-04-09-14459.",/services/EDU-01-000/v4/
W001_V04_P10_C1,W001_V04_P10,W001,V04,P10,contact,1,Reference EDU-01-000-04-10-14772 governs the contact information for Atlas Education North. The course workflow supports enrolment and records lab information under the North operating profile. Version 4 specifies a threshold of 90 units and a listed service value of 74 units.,/contact/EDU-01-000/v4/
W001_V04_P10_C2,W001_V04_P10,W001,V04,P10,contact,2,"The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 131 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-04-10-14772.",/contact/EDU-01-000/v4/
W001_V05_P01_C1,W001_V05_P01,W001,V05,P01,overview,1,Reference EDU-01-000-05-01-12964 governs the service overview for Atlas Education North. The lab workflow supports attendance and records assessment information under the North operating profile. Version 5 specifies a threshold of 20 units and a listed service value of 371 units.,/overview/EDU-01-000/v5/
W001_V05_P01_C2,W001_V05_P01,W001,V05,P01,overview,2,"The scheduled operating point is Monday at 07:00, with a standard handling duration of 133 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-05-01-12964.",/overview/EDU-01-000/v5/
W001_V05_P02_C1,W001_V05_P02,W001,V05,P02,pricing,1,Reference EDU-01-000-05-02-13277 governs the pricing and commercial terms for Atlas Education North. The certificate workflow supports withdrawal and records module information under the North operating profile. Version 5 specifies a threshold of 17 units and a listed service value of 263 units.,/pricing/EDU-01-000/v5/
W001_V05_P02_C2,W001_V05_P02,W001,V05,P02,pricing,2,"The scheduled operating point is Saturday at 12:00, with a standard handling duration of 84 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-05-02-13277.",/pricing/EDU-01-000/v5/
W001_V05_P03_C1,W001_V05_P03,W001,V05,P03,policy,1,Reference EDU-01-000-05-03-13590 governs the operating policy for Atlas Education North. The course workflow supports withdrawal and records certificate information under the North operating profile. Version 5 specifies a threshold of 14 units and a listed service value of 155 units.,/policy/EDU-01-000/v5/
W001_V05_P03_C2,W001_V05_P03,W001,V05,P03,policy,2,"The scheduled operating point is Thursday at 10:00, with a standard handling duration of 35 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-05-03-13590.",/policy/EDU-01-000/v5/
W001_V05_P04_C1,W001_V05_P04,W001,V05,P04,support,1,Reference EDU-01-000-05-04-13903 governs the support procedure for Atlas Education North. The module workflow supports withdrawal and records scholarship information under the North operating profile. Version 5 specifies a threshold of 90 units and a listed service value of 47 units.,/support/EDU-01-000/v5/
W001_V05_P04_C2,W001_V05_P04,W001,V05,P04,support,2,"The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 167 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-05-04-13903.",/support/EDU-01-000/v5/
W001_V05_P05_C1,W001_V05_P05,W001,V05,P05,faq,1,Reference EDU-01-000-05-05-14216 governs the frequently asked questions for Atlas Education North. The assessment workflow supports enrolment and records assessment information under the North operating profile. Version 5 specifies a threshold of 87 units and a listed service value of 360 units.,/faq/EDU-01-000/v5/
W001_V05_P05_C2,W001_V05_P05,W001,V05,P05,faq,2,"The scheduled operating point is Sunday at 13:00, with a standard handling duration of 118 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-05-05-14216.",/faq/EDU-01-000/v5/
W001_V05_P06_C1,W001_V05_P06,W001,V05,P06,requirements,1,Reference EDU-01-000-05-06-14529 governs the eligibility and requirements for Atlas Education North. The scholarship workflow supports enrolment and records course information under the North operating profile. Version 5 specifies a threshold of 84 units and a listed service value of 252 units.,/requirements/EDU-01-000/v5/
W001_V05_P06_C2,W001_V05_P06,W001,V05,P06,requirements,2,"The scheduled operating point is Friday at 11:00, with a standard handling duration of 69 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-05-06-14529.",/requirements/EDU-01-000/v5/
W001_V05_P07_C1,W001_V05_P07,W001,V05,P07,schedule,1,Reference EDU-01-000-05-07-14842 governs the timing and scheduling for Atlas Education North. The lab workflow supports enrolment and records certificate information under the North operating profile. Version 5 specifies a threshold of 81 units and a listed service value of 144 units.,/schedule/EDU-01-000/v5/
W001_V05_P07_C2,W001_V05_P07,W001,V05,P07,schedule,2,"The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 20 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-05-07-14842.",/schedule/EDU-01-000/v5/
W001_V05_P08_C1,W001_V05_P08,W001,V05,P08,security,1,Reference EDU-01-000-05-08-15155 governs the security and access for Atlas Education North. The certificate workflow supports enrolment and records scholarship information under the North operating profile. Version 5 specifies a threshold of 78 units and a listed service value of 457 units.,/security/EDU-01-000/v5/
W001_V05_P08_C2,W001_V05_P08,W001,V05,P08,security,2,"The scheduled operating point is Monday at 07:00, with a standard handling duration of 152 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-05-08-15155.",/security/EDU-01-000/v5/
W001_V05_P09_C1,W001_V05_P09,W001,V05,P09,services,1,Reference EDU-01-000-05-09-15468 governs the available services for Atlas Education North. The course workflow supports verification and records assessment information under the North operating profile. Version 5 specifies a threshold of 75 units and a listed service value of 349 units.,/services/EDU-01-000/v5/
W001_V05_P09_C2,W001_V05_P09,W001,V05,P09,services,2,"The scheduled operating point is Saturday at 12:00, with a standard handling duration of 103 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-05-09-15468.",/services/EDU-01-000/v5/
W001_V05_P10_C1,W001_V05_P10,W001,V05,P10,contact,1,Reference EDU-01-000-05-10-15781 governs the contact information for Atlas Education North. The module workflow supports verification and records course information under the North operating profile. Version 5 specifies a threshold of 72 units and a listed service value of 241 units.,/contact/EDU-01-000/v5/
W001_V05_P10_C2,W001_V05_P10,W001,V05,P10,contact,2,"The scheduled operating point is Thursday at 10:00, with a standard handling duration of 54 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-05-10-15781.",/contact/EDU-01-000/v5/
W001_V06_P01_C1,W001_V06_P01,W001,V06,P01,overview,1,Reference EDU-01-000-06-01-13973 governs the service overview for Atlas Education North. The certificate workflow supports withdrawal and records lab information under the North operating profile. Version 6 specifies a threshold of 81 units and a listed service value of 117 units.,/overview/EDU-01-000/v6/
W001_V06_P01_C2,W001_V06_P01,W001,V06,P01,overview,2,"The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 56 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-06-01-13973.",/overview/EDU-01-000/v6/
W001_V06_P02_C1,W001_V06_P02,W001,V06,P02,pricing,1,Reference EDU-01-000-06-02-14286 governs the pricing and commercial terms for Atlas Education North. The course workflow supports enrolment and records assessment information under the North operating profile. Version 6 specifies a threshold of 78 units and a listed service value of 430 units.,/pricing/EDU-01-000/v6/
W001_V06_P02_C2,W001_V06_P02,W001,V06,P02,pricing,2,"The scheduled operating point is Sunday at 13:00, with a standard handling duration of 188 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-06-02-14286.",/pricing/EDU-01-000/v6/
